icao,provider,status,fuel_avgas_100ll,fuel_avgas_91ul,fuel_mogas,charging_station,phone,email
LFBA,1,0,2,0,0,0,,
LFKA,1,0,2,0,0,0,,
LFCI,1,0,2,0,0,0,,
LFMS,1,0,2,0,0,0,,
LFEF,1,0,2,0,0,0,,
LFAY,1,0,2,0,0,0,,
LFCD,1,0,1,0,0,0,,
LFLI,1,0,2,0,0,0,,
LFCH,1,0,2,2,0,0,,
LFEH,1,0,1,0,0,0,,
LFDH,1,0,2,0,0,0,,
LFLW,1,0,2,0,0,0,,
LFLA,1,0,2,0,0,0,,
LFMV,1,0,2,2,0,0,,
LFGF,1,0,2,0,0,0,,
LFPD,1,0,2,0,0,0,,
LFSA,1,0,1,0,0,0,,
LFMU,1,0,2,0,0,0,,
LFBS,1,0,2,0,0,0,,
LFHS,1,0,2,2,0,0,,
LFCC,1,0,2,0,0,0,,
LFAC,1,0,2,0,0,0,,
LFQK,1,0,1,0,0,0,,
LFLE,1,0,2,0,0,0,,
LFJY,1,0,2,0,0,0,,
LFOR,1,0,2,0,0,0,,
LFLX,1,0,2,0,0,0,,
LFEJ,1,0,1,0,0,0,,
LFMX,1,0,2,0,0,0,,
LFPH,1,0,2,0,0,0,,
LFLC,1,0,2,0,0,0,,
LFPK,1,0,2,0,0,0,,
LFGI,1,0,2,0,0,0,,
LFEB,1,0,2,0,0,0,,
LFGR,1,0,2,0,0,0,,
LFON,1,0,1,0,0,0,,
LFSW,1,0,2,0,0,0,,
LFOX,1,0,2,0,0,0,,
LFKF,1,0,2,0,0,0,,
LFOG,1,0,1,0,0,0,,
LFPQ,1,0,2,0,0,0,,
LFRF,1,0,2,0,0,0,,
LFCQ,1,0,2,0,0,0,,
LFEV,1,0,2,0,0,0,,
LFES,1,0,2,0,0,0,,
LFCJ,1,0,2,0,0,0,,
LFAF,1,0,2,0,0,0,,
LFOV,1,0,2,0,0,0,,
LFEL,1,0,1,0,0,0,,
LFOH,1,0,2,0,0,0,,
LFRM,1,0,2,0,0,0,,
LFAT,1,0,2,0,0,0,,
LFQL,1,0,2,0,0,0,,
LFXU,1,0,2,2,0,0,,
LFOO,1,0,2,0,0,0,,
LFOM,1,0,2,0,0,0,,
LFQQ,1,0,2,0,0,0,,
LFQO,1,0,2,0,0,0,,
LFPL,1,0,2,2,0,0,,
LFDL,1,0,2,0,0,0,,
LFQC,1,0,1,0,0,0,,
LFLY,1,0,2,0,0,0,,
LFLM,1,0,2,0,0,0,,
LFDM,1,0,2,0,0,0,,
LFPE,1,0,2,2,0,0,,
LFPM,1,0,2,0,0,0,,
LFNB,1,0,2,0,0,0,,
LFQT,1,0,2,0,0,0,,
LFCM,1,0,2,0,0,0,,
LFCZ,1,0,1,0,0,0,,
LFEM,1,0,2,0,0,0,,
LFGM,1,0,2,2,0,0,,
LFBK,1,0,2,0,0,0,,
LFNG,1,0,2,0,0,0,,
LFMT,1,0,2,0,0,0,,
LFRU,1,0,2,0,0,0,,
LFHY,1,0,2,0,0,0,,
LFBR,1,0,2,0,0,0,,
LFSN,1,0,2,0,0,0,,
LFAI,1,0,2,0,0,0,,
LFRS,1,0,1,0,0,0,,
LFBN,1,0,2,0,0,0,,
LFCN,1,0,1,0,0,0,,
LFCO,1,0,1,0,0,0,,
LFLK,1,0,2,0,0,0,,
LFDJ,1,0,2,0,0,0,,
LFBX,1,0,2,0,0,0,,
LFMP,1,0,2,0,0,0,,
LFHD,1,0,1,0,0,0,,
LFSP,1,0,2,0,0,0,,
LFPT,1,0,2,0,0,0,,
LFGO,1,0,2,0,0,0,,
LFEQ,1,0,2,0,0,0,,
LFCR,1,0,2,0,0,0,,
LFHE,1,0,2,0,0,0,,
LFYR,1,0,2,0,0,0,,
LFCY,1,0,2,0,0,0,,
LFFD,1,0,2,0,0,0,,
LFRT,1,0,2,0,0,0,,
LFGY,1,0,2,0,0,0,,
LFMH,1,0,2,0,0,0,,
LFHQ,1,0,1,0,0,0,,
LFRZ,1,0,2,0,0,0,,
LFDP,1,0,2,0,0,0,,
